날짜,시가,고가,저가,종가,엔상1,엔상2,엔상3,엔상4,엔상5,엔하1,엔하2,엔하3,엔하4,엔하5,피4,피5,V1,V2
2024/09/19,64000,64400,62200,63100,70676.4705882353,72382.1848739496,74502.8991596639,76416.1134453782,78329.3277310925,59600,68970.756302521,66850.0420168067,64936.8277310924,63023.6134453782,65633.75,67586.0576923077,75602.4740802501,73992.7897781838
2024/09/13,65000,65500,64300,64400,71570.5882352941,73244.1596638656,75504.8739495798,77472.0168067227,79439.1596638656,58100,69897.0168067227,67636.3025210084,65669.1596638656,63702.0168067227,66505,68528.8461538462,76400.1283947239,74855.5782063537
2024/09/12,66000,66600,65200,66300,72388.2352941177,74038.9495798319,76431.8067226891,78453.5924369748,80475.3781512605,55900,70737.5210084034,68344.6638655462,66322.8781512605,64301.0924369748,67461.25,69473.5576923077,77015.9377044573,75497.4180640859
2024/09/11,65100,65500,64200,64900,73129.4117647059,74765.8403361345,77265.8403361345,79334.0546218487,81402.268907563,56600,71492.9831932773,68992.9831932773,66924.768907563,64856.5546218487,68237.5,70356.7307692308,77884.011601739,76220.9220570634
2024/09/10,67000,67300,66000,66200,73917.6470588235,75540.5042016807,78154.0756302521,80272.2899159664,82390.5042016807,59100,72294.7899159664,69681.218487395,67563.0042016807,65444.7899159664,69335,71436.5384615385,78240.9893696566,76696.8266211715
2024/09/09,66900,68200,66600,67500,74741.1764705882,76374.7478991597,79090.462184874,81265.1050420168,83439.7478991597,57700,73107.6050420168,70391.8907563025,68217.2478991597,66042.6050420168,70452.5,72389.4230769231,78462.9986836687,77038.9713908908
2024/09/06,69100,69700,68000,68900,75311.7647058824,76980.3361344538,79780.3361344538,82014.6218487395,84248.9075630252,59000,73643.1932773109,70843.1932773109,68608.9075630252,66374.6218487395,71698.75,73361.0576923077,78561.7471676127,77249.9591967205
2024/09/05,70100,71200,69000,69000,75735.2941176471,77496.0084033614,80328.1512605042,82624.5798319328,84921.0084033614,59200,73974.5798319328,71142.4369747899,68846.0084033614,66549.5798319328,72670,74176.9230769231,78759.0682355443,77519.6814088598
2024/09/04,69800,71100,69800,70000,76117.6470588235,77986.2184873949,80835.5042016807,83194.4327731092,85553.3613445378,59700,74249.0756302521,71399.7899159664,69040.8613445378,66681.9327731092,73613.75,74978.3653846154,78468.6755096895,77442.6062542588
2024/09/03,74100,74300,72500,72500,76394.1176470588,78378.4033613445,81228.4033613445,83645.5462184874,86062.6890756303,59500,74409.8319327731,71559.8319327731,69142.6890756303,66725.5462184874,74735,75851.9230769231,78077.7680588176,77343.8436577002
